origin,height,width,nChannels,mode,data
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0104.jpg,371,1530,3,16,[B@2ccebe42
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0108.jpg,268,763,3,16,[B@7bffb2fa
