origin,height,width,nChannels,mode,data
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0109.jpg,197,699,3,16,[B@28993d93
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0101.jpg,244,617,3,16,[B@49d0de2
