origin,height,width,nChannels,mode,data
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0107.jpg,224,765,3,16,[B@109bdbd
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0100.jpg,250,766,3,16,[B@d58b4d
