origin,height,width,nChannels,mode,data
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0104.jpg,371,1530,3,16,[B@15152d
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0108.jpg,268,763,3,16,[B@1114b94
