origin,height,width,nChannels,mode,data
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0105.jpg,279,1480,3,16,[B@2d8d0331
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0106.jpg,323,1504,3,16,[B@57cb6a8e
