origin,height,width,nChannels,mode,data
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0105.jpg,279,1480,3,16,[B@104728d
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0106.jpg,323,1504,3,16,[B@bf7a9e
