origin,height,width,nChannels,mode,data
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0107.jpg,224,765,3,16,[B@bfa6b4e
file:///home/nolfonzo/src/Essential-PySpark-for-Scalable-Data-Analytics/data/images/DSC_0100.jpg,250,766,3,16,[B@1db5891c
