origin,height,width,nChannels,mode,data
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0109.jpg,197,699,3,16,[B@a4b5f5
file:///c:/Users/nolfonzo/src/pyspark/images/DSC_0101.jpg,244,617,3,16,[B@1ccf098
